"entity","name","label","dataType","refEntity","mappedBy","nillable","idAttribute","enumOptions","defaultValue","rangeMin","rangeMax","lookupAttribute","labelAttribute","readOnly","aggregateable","visible","unique","partOfAttribute","expression","validationExpression","tags","description","description-en","label-en","description-nl","label-nl","description-pt","label-pt","description-es","label-es","description-de","label-de","description-it","label-it","description-fr","label-fr","description-xx","label-xx"
"eu_bbmri_eric_biobank_size","id","id","int","","","FALSE","TRUE","","","","","TRUE","FALSE","TRUE","FALSE","TRUE","TRUE","","","","","Unique ID.","","","","","","","","","","","","","","","",""
"eu_bbmri_eric_biobank_size","size","size","string","","","FALSE","FALSE","","","","","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","","","","","Size of the collection measured as 10n samples.","","","","","","","","","","","","","","","",""
"eu_bbmri_eric_biobanks","id","id","string","","","FALSE","TRUE","","","","","TRUE","FALSE","TRUE","FALSE","FALSE","TRUE","","","","","Unique biobank ID within BBMRI-ERIC based on MIABIS 2.0 standard (ISO 3166-1 alpha-2 + underscore + biobank national ID or name), prefixed with bbmri-eric:ID: string - MIABIS-2.0-01.","","","","","","","","","","","","","","","",""
"eu_bbmri_eric_biobanks","name","name","string","","","FALSE","FALSE","","","","","TRUE","TRUE","FALSE","FALSE","TRUE","FALSE","","","","","Biobank name according to MIABIS 2.0 - MIABIS-2.0-03.","","","","","","","","","","","","","","","",""
"eu_bbmri_eric_biobanks","acronym","acronym","string","","","TRUE","FALSE","","","","","TRUE","FALSE","FALSE","FALSE","TRUE","FALSE","","","","","Biobank acronym - MIABIS-2.0-02.","","","","","","","","","","","","","","","",""
"eu_bbmri_eric_biobanks","description","description","text","","","TRUE","FALSE","","","","","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","","","","","Biobank description - MIABIS-2.0-08.","","","","","","","","","","","","","","","",""
"eu_bbmri_eric_biobanks","bioresource_reference","bioresource reference","text","","","TRUE","FALSE","","","","","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","","","","","Bioresource reference to be cited when the bioresource (biobank/collection) is used for research.","","","","","","","","","","","","","","","",""
"eu_bbmri_eric_biobanks","url","url","hyperlink","","","TRUE","FALSE","","","","","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","","","","","Biobank URL - MIABIS-2.0-04.","","","","","","","","","","","","","","","",""
"eu_bbmri_eric_biobanks","juridical_person","juridical person","string","","","FALSE","FALSE","","","","","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","","","","","Juristic person of a biobank according to MIABIS 2.0 - MIABIS-2.0-05.","","","","","","","","","","","","","","","",""
"eu_bbmri_eric_biobanks","country","country","xref","eu_bbmri_eric_countries","","FALSE","FALSE","","","","","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","","","","","Country hosting the biobank according to MIABIS 2.0 - MIABIS-2.0-06.","","","","","","","","","","","","","","","",""
"eu_bbmri_eric_biobanks","it_support","it support","compound","","","TRUE","FALSE","","","","","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","","","","","","","","","","","","","","","","","","","","",""
"eu_bbmri_eric_biobanks","it_support_available","it support available","bool","","","TRUE","FALSE","","","","","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","it_support","","","","Is IT support available at the biobank?","","","","","","","","","","","","","","","",""
"eu_bbmri_eric_biobanks","it_staff_size","it staff size","int","","","TRUE","FALSE","","","","","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","it_support","","","","Size of the biobank dedicated IT staff measured as 2n.","","","","","","","","","","","","","","","",""
"eu_bbmri_eric_biobanks","is_available","is available","bool","","","TRUE","FALSE","","","","","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","it_support","","","","Has the biobank a computer-based Information System (IS)?","","","","","","","","","","","","","","","",""
"eu_bbmri_eric_biobanks","his_available","his available","bool","","","TRUE","FALSE","","","","","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","it_support","","","","Has the biobank on-line or off-line connection to a Hospital Information System (HIS)?","","","","","","","","","","","","","","","",""
"eu_bbmri_eric_biobanks","partner_charter_signed","partner charter signed","bool","","","FALSE","FALSE","","","","","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","","","","","Biobank has signed BBMRI-ERIC Partner Charter.","","","","","","","","","","","","","","","",""
"eu_bbmri_eric_biobanks","contact_information","contact information","compound","","","TRUE","FALSE","","","","","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","","","","","","","","","","","","","","","","","","","","",""
"eu_bbmri_eric_biobanks","head_firstname","head first name","string","","","TRUE","FALSE","","","","","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","contact_information","","","","First name of a person in charge of the biobank.","","","","","","","","","","","","","","","",""
"eu_bbmri_eric_biobanks","head_lastname","head last name","string","","","TRUE","FALSE","","","","","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","contact_information","","","","Last name of a person in charge of the biobank.","","","","","","","","","","","","","","","",""
"eu_bbmri_eric_biobanks","head_role","head role","string","","","TRUE","FALSE","","","","","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","contact_information","","","","Official role of the person in charge of the biobank: typically PI or Director.","","","","","","","","","","","","","","","",""
"eu_bbmri_eric_biobanks","contact","contact","xref","eu_bbmri_eric_persons","","TRUE","FALSE","","","","","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","","","","","Reference to a contact ID.","","","","","","","","","","","","","","","",""
"eu_bbmri_eric_biobanks","contact_priority","contact priority","int","","","FALSE","FALSE","","","","","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","contact_information","","","","Priority of the contact 1..n (i.e., non-negative integer), where the highest priority should be used for contacting about given set of samples. E.g., if a collection has contactPriority=3, the biobank in which the collection resides has contactPriority=10, and the biobankNetwork to which the collection or biobank belongs has contactPriority=7, the biobank contact should be used.","","","","","","","","","","","","","","","",""
"eu_bbmri_eric_biobanks","latitude","latitude","string","","","TRUE","FALSE","","","","","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","contact_information","","","","Latitude of the biobank in the WGS84 system (the one used by GPS), positive is northern hemisphere.","","","","","","","","","","","","","","","",""
"eu_bbmri_eric_biobanks","longitude","longitude","string","","","TRUE","FALSE","","","","","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","contact_information","","","","Longitude of the biobank in the WGS84 system (the one used by GPS), positive is to the East of Greenwich.","","","","","","","","","","","","","","","",""
"eu_bbmri_eric_biobanks","collections","collections","one_to_many","eu_bbmri_eric_collections","biobank","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"eu_bbmri_eric_biobanks","network","network","mref","eu_bbmri_eric_networks","","TRUE","FALSE","","","","","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","","","","","Reference to a biobank network ID, to which the collection or biobank belongs; this attribute can also be used for biobank network, where it refers to the superior biobank network).","","","","","","","","","","","","","","","",""
"eu_bbmri_eric_biobanks","collaboration_commercial","collaboration commercial","bool","","","TRUE","FALSE","","","","","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","","","","","Biobank/collection can be used for collaboration with commercial partners.","","","","","","","","","","","","","","","",""
"eu_bbmri_eric_biobanks","collaboration_non_for_profit","collaboration non for profit","bool","","","TRUE","FALSE","","","","","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","","","","","Biobank/collection can be used for collaboration with non-for-profit partners.","","","","","","","","","","","","","","","",""
"eu_bbmri_eric_biobanks","capabilities","Capablities provided","categorical_mref","eu_bbmri_eric_capabilities","","TRUE","FALSE","","","","","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","","","","","Capabilities that the biobank organisation can offer to a researcher","","","","","","","","","","","","","","","",""
"eu_bbmri_eric_biobanks","operational_standards","Applied operational standards","categorical_mref","eu_bbmri_eric_ops_standards","","TRUE","FALSE","","","","","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","","","","","Biobank/collection can be used for collaboration with non-for-profit partners.","","","","","","","","","","","","","","","",""
