acronym,name,type,description,country,homepage,logo,publications
UiO,University of Oslo,University,,Norway,https://www.uio.no/,,
AU,University of Aarhus,University,,Denmark,,,
UoD,University of Dundee,University,,United Kingdom,,,
ULST,University of Ulster,University,,United Kingdom,,,
CHUT,Centre Hospitalier Universitaire de Toulouse,University,,France,,,
UMCG,University Medical Center Groningen,University,The University Medical Center Groningen (UMCG) is one of 8 university medical centers in the Netherlands.,Netherlands,http://www.umcg.nl,,
PHARMO,The PHARMO institute,Research institute,,Netherlands,,,
ABAC,Ab-acus ,SME,,Italy,,,
EMC,Erasmus MC,University,,Netherlands,,,
UOB,University of Bristol,University,,United Kingdom,,,
UMCU,UMC Utrecht,University,,Netherlands,,,
UOULU,University of Oulu,University,,Finland,,,
ISGLOBAL,Barcelona Institute for Global Health,Research institute,,Spain,,,
ICL,Imperial College London,University,,United Kingdom,,,
BETA,Beta Technologies,SME,,United Kingdom,,,
UEF,University of Eastern Finland,University,,Finland,,,
CUT,Chalmers University of Technology ,University,,Sweden,,,
INSERM,National Institute of Medical Research ,Research institute,,France,,,
UCL,University College London ,University,,United Kingdom,,,
UU,University of Utrecht ,University,,Netherlands,,,
USEY,University of Surrey ,University,,UK ,,,
AMC,Amsterdam Medical Center ,University,,Netherlands,,,
UPF,University Pompeu Fabra ,University,,Spain,,,
CYN,Cynexo ,SME,,Italy,,,
CEIS,University of Rome ,University,,Italy,,,
UB,University of Bordeaux,University,,France,,,
LIPRE,Leibniz Institute for Prevention Research and Epidemiology,Research institute,,Germany,,,
FISABIO,Fundación para el Fomento de la Investigación Sanitaria y Biomédica de la Comunitat Valenciana,Research institute,,Spain,,,
IDIAPJGol,Institut de Recerca en Atenció Primària Jordi Gol,Research institute,,Spain,,,
FERR,Università degli Studi di Ferrara – University of Ferrara,University,,Italy,,,
CNR-IFC,"CNR Tuscany, Italy Florence research aray",Research institute,,Italy,,,
ARS,Agenzia regionale di sanità della Toscana,Research institute,,Italy,,,
UM,University of Messina,University,,Italy,,,
MLT,"Malta Congenital Anomalies Registry, Directorate for Health Information and Research",Research institute,,Malta,,,
AMF,Malformation Monitoring Centre Saxony-Anhalt Medical Faculty,University,,Germany,,,
THL,Finnish Institute for Health and Welfare,Research institute,,Finland,,,
USWAN,University of Swansea,University,,United Kingdom,,,
GSK,GlaxoSmithKline,Company,,United Kingdom,,,
BRI,Bradford Royal Infirmary,Teaching hospital,,United Kingdom,,,
