release.version,table,name,collectionEvent.resource,collectionEvent.name,label,format,unit,references.table,references.name,mandatory,description,order,exampleValues,keywords,vocabularies,release.resource
1.0.0,core,abroad_child,,,Child's born abroad,boolean,,,,,,,,Child's country of birth,,LifeCycle
1.0.0,core,abroad_fa,,,Father's born abroad,boolean,,,,,,,,Paternal country of birth,,LifeCycle
1.0.0,core,abroad_mo,,,Mother's born abroad,boolean,,,,,,,,Maternal country of birth,,LifeCycle
1.0.0,core,adhd_age,,,exact age of the child (in years) when ADHD were recorded for adhd_raw_0,continuous,,,,,,,,ADHD symptoms,,LifeCycle
1.0.0,core,adhd_avg,,,average of available items comprising the total raw score of  adhd_raw_0,continuous,,,,,,,,ADHD symptoms,,LifeCycle
1.0.0,core,adhd_eval,,,who the test for measuring ADHD was administered/answered by for adhd_raw_0,categorical,,,,,,,,ADHD symptoms,,LifeCycle
1.0.0,core,adhd_instr,,,Cohort-specific instrument used to measure the ADHD for adhd_raw_0,categorical,,,,,,,,ADHD symptoms,,LifeCycle
1.0.0,core,adhd_pc,,,"ADHD, percentiles of adhd_pro_0",continuous,,,,,,,,ADHD symptoms,,LifeCycle
1.0.0,core,adhd_pro,,,total ADHD score after prorating adhd_raw_0,continuous,,,,,,,,ADHD symptoms,,LifeCycle
1.0.0,core,adhdR,,,ADHD diagnosis assessed within one year of childbirth (>0 year and <1 year),boolean,,,,,,,,ADHD Registry diagnosis,,LifeCycle
1.0.0,core,adhdR_age,,,exact age of the child (in years) at onset for ADHD diagnosis for adhdR_0,continuous,,,,,,,,ADHD Registry diagnosis,,LifeCycle
1.0.0,core,adhd_raw,,,"ADHD, total raw score assessed within one year of childbirth (>0 year and <1 year)",continuous,,,,,,,,ADHD symptoms,,LifeCycle
1.0.0,core,adhdR_eval,,,how was the medical diagnosis reported for adhdR_0,boolean,,,,,,,,ADHD Registry diagnosis,,LifeCycle
1.0.0,core,adipo,,,Child's adiponectin (0 and <1 month),continuous,,,,,,,,,,LifeCycle
1.0.0,core,adipoage,,,Age at adiponectin measurement (0 and <1 month),continuous,,,,,,,,,,LifeCycle
1.0.0,core,adipo_cord,,,adiponectin measured in cord blood,continuous,,,,,,,,,,LifeCycle
1.0.0,core,adipomes,,,Nonfasting or fasting when adiponectin measured (0 and <1 month),boolean,,,,,,,,,,LifeCycle
1.0.0,core,agebirth_m_d,,,Mother's age at delivery in days,integer,,,,,,,,Maternal age at birth,,LifeCycle
1.0.0,core,agebirth_m_y,,,Mother's age at delivery in complete years.,integer,,,,,,,,Maternal age at birth,,LifeCycle
1.0.0,core,agebirth_p_d,,,Father's age at birth in days,integer,,,,,,,,Paternal age at birth,,LifeCycle
1.0.0,core,agebirth_p_fath,,,"Type of father, father's age at birth",categorical,,,,,,,,Paternal age at birth,,LifeCycle
1.0.0,core,agebirth_p_y,,,Father's age at birth in complete years,integer,,,,,,,,Paternal age at birth,,LifeCycle
1.0.0,core,agrgr,,,"percentage of agrgr (agricultural areas, semi-natural areas and wetlands) land use within a buffer of 300 m at birth",continuous,,,,,,,,main_land_use_agricultural,,LifeCycle
1.0.0,core,agrgr_preg,,,"percentage of agrgr (agricultural areas, semi-natural areas and wetlands) land use within a buffer of 300 m at pregnancy",continuous,,,,,,,,main_land_use_agricultural,,LifeCycle
1.0.0,core,airpt,,,percentage of airpt (airports) land use within a buffer of 300 m at birth,continuous,,,,,,,,main_land_use_airports,,LifeCycle
1.0.0,core,airpt_preg,,,percentage of airpt (airports) land use within a buffer of 300 m at pregnancy,continuous,,,,,,,,main_land_use_airports,,LifeCycle
1.0.0,core,alc,,,Any alcohol intake in 1. trimester,boolean,,,,,,,,Maternal alcohol intake,,LifeCycle
1.0.0,core,all,,,"Doctor diagnosis of allergy, type of allergen unspecified within one year of birth (child aged between >-1 year and <1 year)",boolean,,,,,,,,Any allergy,,LifeCycle
1.0.0,core,allergy_any_m,,,Maternal history of any allergy before pregnancy (of index child),boolean,,,,,,,,"Respiratory allergy and skin characteristics",,LifeCycle
1.0.0,core,allergy_food_m,,,Maternal history of food allergy before pregnancy (of index child),boolean,,,,,,,,"Respiratory allergy and skin characteristics",,LifeCycle
1.0.0,core,allergy_inh_m,,,Maternal history of inhalant allergy before pregnancy (of index child),boolean,,,,,,,,"Respiratory allergy and skin characteristics",,LifeCycle
1.0.0,core,all_ever,,,"Ever doctor diagnosis of allergy, type of allergen unspecified",boolean,,,,,,,,Any allergy,,LifeCycle
1.0.0,core,anaphylaxis,,,Ever diagnosis of anaphylactic shock,boolean,,,,,,,,Anaphylaxis,,LifeCycle
1.0.0,core,an_m,,,Maternal anorexia nervosa active active from ≥0 to 1 year.,boolean,,,,,,,,Anorexia nervosa,,LifeCycle
1.0.0,core,apgar,,,5 minute Apgar score,integer,,,,,,,,Apgar score,,LifeCycle
1.0.0,core,areases_quint,,,area-level SES indicator (deprivation index in quintiles) at birth,categorical,,,,,,,,area_level_ses_quintiles,,LifeCycle
1.0.0,core,areases_quint_preg,,,area-level SES indicator (deprivation index in quintiles) at pregnancy,categorical,,,,,,,,area_level_ses_quintiles,,LifeCycle
1.0.0,core,areases_tert,,,area-level SES indicator (deprivation index in tertiles) at birth,categorical,,,,,,,,area_level_ses_tertiles,,LifeCycle
1.0.0,core,areases_tert_preg,,,area-level SES indicator (deprivation index in tertiles) at pregnancy,categorical,,,,,,,,area_level_ses_tertiles,,LifeCycle
1.0.0,core,armcirc,,,Child's arm circumference (0 and <1 month),continuous,,,,,,,,,,LifeCycle
1.0.0,core,armcircage,,,Age at arm circumference measurement (0 and <1 month),continuous,,,,,,,,,,LifeCycle
1.0.0,core,armcircmes,,,Measured vs. reported child arn circumference (0 and <1 month),boolean,,,,,,,,,,LifeCycle
1.0.0,core,armlength,,,Child's arm length (0 and <1 month),continuous,,,,,,,,,,LifeCycle
1.0.0,core,armlengthage,,,Age at arm length measurement (0 and <1 month),continuous,,,,,,,,,,LifeCycle
1.0.0,core,armlengthmes,,,Measured vs. reported child arm length (0 and <1 month),boolean,,,,,,,,,,LifeCycle
1.0.0,core,art,,,Assisted reproductive treatment,boolean,,,,,,,,,,LifeCycle
1.0.0,core,asd_age,,,exact age of the child (in years) when ASD were recorded for asd_raw_0,continuous,,,,,,,,Autism spectrum disorder symptoms,,LifeCycle
1.0.0,core,asd_avg,,,average of available items comprising the total raw score of  asd_raw_0,continuous,,,,,,,,Autism spectrum disorder symptoms,,LifeCycle
1.0.0,core,asd_eval,,,who the test for measuring ASD was administered/answered by for asd_raw_0,categorical,,,,,,,,Autism spectrum disorder symptoms,,LifeCycle
1.0.0,core,asd_instr,,,Cohort-specific instrument used to measure the ASD for asd_raw_0,categorical,,,,,,,,Autism spectrum disorder symptoms,,LifeCycle
1.0.0,core,asd_pc,,,"ASD, percentiles of asd_pro_0",continuous,,,,,,,,Autism spectrum disorder symptoms,,LifeCycle
1.0.0,core,asd_pro,,,total ASD score after prorating asd_raw_0,continuous,,,,,,,,Autism spectrum disorder symptoms,,LifeCycle
1.0.0,core,asdR,,,ASD diagnosis assessed within one year of childbirth (>0 year and <1 year),boolean,,,,,,,,ASD Registry diagnosis,,LifeCycle
1.0.0,core,asdR_age,,,exact age of the child (in years) at onset for ASD diagnosis for asdR_0,continuous,,,,,,,,ASD Registry diagnosis,,LifeCycle
1.0.0,core,asd_raw,,,"ASD, total raw score assessed within one year of childbirth (>0 year and <1 year)",continuous,,,,,,,,Autism spectrum disorder symptoms,,LifeCycle
1.0.0,core,asdR_eval,,,how was the medical diagnosis reported for asdR_0,boolean,,,,,,,,ASD Registry diagnosis,,LifeCycle
1.0.0,core,asthma,,,diagnosis of asthma within one year of birth (child aged between >-1 year and <1 year),boolean,,,,,,,,Asthma,,LifeCycle
1.0.0,core,Asthma_adult,,,Ever diagnosis of asthma in adulthood based on physician diagnosis,boolean,,,,,,,,Respiratory,,LifeCycle
1.0.0,core,asthma_bf,,,Paternal history of asthma (biological father),boolean,,,,,,,,Paternal asthma,,LifeCycle
1.0.0,core,asthma_current_ISAAC,,,Current asthma  (ISAAC),boolean,,,,,,,,ISAAC,,LifeCycle
1.0.0,core,asthma_current_MeDALL,,,Current asthma (MeDALL),boolean,,,,,,,,MeDALL,,LifeCycle
1.0.0,core,asthma_ever_CHICOS,,,School age asthma according to CHICOS definition,boolean,,,,,,,,CHICOS,,LifeCycle
1.0.0,core,asthma_ever_MeDALL,,,Ever diagnosis of asthma according to MeDALL definition,boolean,,,,,,,,MeDALL,,LifeCycle
1.0.0,core,asthma_m,,,Maternal history of asthma before pregnancy,boolean,,,,,,,,Maternal asthma,,LifeCycle
