name,label,description,mandatory,format,codeList,topic,population,collectionEvent
abroad_child,Child's born abroad,Whether child cohort member was born abroad,false,boolean,,aaaac2ipjyxw36qwhza7xqiaae,,baseline
abroad_fa,Father's born abroad,Whether child's father was born abroad,false,boolean,,aaaaczochh3bp6qwhycgrlaaae,,baseline
abroad_mo,Mother's born abroad,Whether child's mother was born abroad,false,boolean,,aaaaczocdikup6qwhycgrlaaae,,baseline
adhd_age,exact age of the child (in years) when ADHD were recorded for adhd_raw_0,Calculate age in years as (date of test assessment - date of birth)/365.2422,false,continuous,,aaaac3pyupqij6qwhza7xqiaae,,year
adhd_avg,average of available items comprising the total raw score of  adhd_raw_0,,false,continuous,,aaaac3pyupqij6qwhza7xqiaae,,year
adhd_eval,who the test for measuring ADHD was administered/answered by for adhd_raw_0,“computerized” (value label 4) only applies if the child perform the test with automatic results. Any computerized rating scale or questionnaire does not apply.,false,categorical,adhd_eval_options,aaaac3pyupqij6qwhza7xqiaae,,year
adhd_instr,Cohort-specific instrument used to measure the ADHD for adhd_raw_0,"For CBCL, use the DSM-Oriented Attention-Deficit Hyperactivity Problem (DSM-ADH) scale.",false,categorical,adhd_instr_options,aaaac3pyupqij6qwhza7xqiaae,,year
adhd_pc,"ADHD, percentiles of adhd_pro_0",,false,continuous,,aaaac3pyupqij6qwhza7xqiaae,,year
adhd_pro,total ADHD score after prorating adhd_raw_0,,false,continuous,,aaaac3pyupqij6qwhza7xqiaae,,year
adhdR,ADHD diagnosis assessed within one year of childbirth (>0 year and <1 year),,false,boolean,,aaaac3pyut3pd6qwhza7xqiaae,,year
adhdR_age,exact age of the child (in years) at onset for ADHD diagnosis for adhdR_0,"If the onset age is not known please use the follow-up age.

The variable is partially harmonized if using age of the child at follow-up as age of onset.",false,continuous,,aaaac3pyut3pd6qwhza7xqiaae,,year
adhd_raw,"ADHD, total raw score assessed within one year of childbirth (>0 year and <1 year)","For DISC-IV/DSM, combine all items rated on a 4-point scale (0 = never or rarely, 1 = sometimes, 2 = often, or 3 = very often).

The variable is fully harmonized if the score is based on all required items of the respective instrument. In case of score calculated using a short form of the test, please inform about it (including the items used) and categorize it as partially harmonized.",false,continuous,,aaaac3pyupqij6qwhza7xqiaae,,year
adhdR_eval,how was the medical diagnosis reported for adhdR_0,,false,boolean,,aaaac3pyut3pd6qwhza7xqiaae,,year
adipo,Child's adiponectin (0 and <1 month),,false,continuous,,,,month
adipoage,Age at adiponectin measurement (0 and <1 month),,false,continuous,,,,month
adipo_cord,adiponectin measured in cord blood,,false,continuous,,,,baseline
adipomes,Nonfasting or fasting when adiponectin measured (0 and <1 month),,false,boolean,,,,month
agebirth_m_d,Mother's age at delivery in days,,false,integer,,aaaacyy2x2n4f6qwh3nxvnaaae,,baseline
agebirth_m_y,Mother's age at delivery in complete years.,,false,integer,,aaaacyy2x2n4f6qwh3nxvnaaae,,baseline
agebirth_p_d,Father's age at birth in days,,false,integer,,aaaacyy2z4tqj6qwh3nxvnaaae,,baseline
agebirth_p_fath,"Type of father, father's age at birth","Variable indicating whether the age recorded in variables agebirth_p_y and agebirth_p_d is for the biological father, the social father/mother or whether this is unknown",false,categorical,agebirth_p_fath_options,aaaacyy2z4tqj6qwh3nxvnaaae,,baseline
agebirth_p_y,Father's age at birth in complete years,,false,integer,,aaaacyy2z4tqj6qwh3nxvnaaae,,baseline
agrgr,"percentage of agrgr (agricultural areas, semi-natural areas and wetlands) land use within a buffer of 300 m at birth",using URBANATLAS except for INMA GUIPUZCOA (EUNIS) and MOBA (local layer),false,continuous,,sub_sub_folder_38,,year
agrgr_preg,"percentage of agrgr (agricultural areas, semi-natural areas and wetlands) land use within a buffer of 300 m at pregnancy",using URBANATLAS except for INMA GUIPUZCOA (EUNIS) and MOBA (local layer),false,continuous,,sub_sub_folder_38,,baseline
airpt,percentage of airpt (airports) land use within a buffer of 300 m at birth,using URBANATLAS except for INMA GUIPUZCOA (EUNIS) and MOBA (local layer),false,continuous,,sub_sub_folder_39,,year
airpt_preg,percentage of airpt (airports) land use within a buffer of 300 m at pregnancy,using URBANATLAS except for INMA GUIPUZCOA (EUNIS) and MOBA (local layer),false,continuous,,sub_sub_folder_39,,baseline
alc,Any alcohol intake in 1. trimester,,false,boolean,,aaaacyy2zc3hp6qwh3nxvnaaae,,trimester
all,"Doctor diagnosis of allergy, type of allergen unspecified within one year of birth (child aged between >-1 year and <1 year)","Where data are available, allergy should be obtained by ISAAC questionnaires. If this is not the case, the variabele is partially harmonized",false,boolean,,child_healthchar_allergy_anyallergy,,year
allergy_any_m,Maternal history of any allergy before pregnancy (of index child),"Where data are available, allergy should be doctor diagnosed. If no information is available on doctor diagnosis, the variable is partially harmonised.",false,boolean,,matchar_healthchar_respallergyskin,,baseline
allergy_food_m,Maternal history of food allergy before pregnancy (of index child),"Where data are available, food allergy should be doctor diagnosed. If no information is available on doctor diagnosis, the variable is partially harmonised.",false,boolean,,matchar_healthchar_respallergyskin,,baseline
allergy_inh_m,Maternal history of inhalant allergy before pregnancy (of index child),"Where data are available, inhalant allergy should be doctor diagnosed. If no information is available on doctor diagnosis, the variable is partially harmonised.",false,boolean,,matchar_healthchar_respallergyskin,,baseline
all_ever,"Ever doctor diagnosis of allergy, type of allergen unspecified","Where data are available, allergy should be obtained by ISAAC questionnaires. If this is not the case, the variabele is partially harmonized",false,boolean,,child_healthchar_allergy_anyallergy,,baseline
anaphylaxis,Ever diagnosis of anaphylactic shock,"Where data are available, anaphylactic shock should be doctor diagnosed. If this is not the case, the variabele is partially harmonized",false,boolean,,child_healthchar_allergy_anaphylaxis,,baseline
an_m,Maternal anorexia nervosa active active from ≥0 to 1 year.,"Maternal anorexia nervosa active active from ≥0 to 1 year: self-reported or registry-based. If both sources of information are available, consider registry-based AN.
Partial harmonization includes:
- Standardized questionnaires/criteria that refer to the period after pregnancy;
- Maternal report of AN active after pregnancy with no specification on whether it is doctor-diagnosed or not.
Please specify how this variable was created, and whether AN was assessed through medical records or self-reported.",false,boolean,,matchar_healthchar_matpsychdis_an,,year
apgar,5 minute Apgar score,"10 minute Apgar score can be used if 5 minute Apgar score is not available; this will be partial harmonisation.

1 minute Apgar score cannot be used in place of 5 minute Apgar score",false,integer,,aaaaczocjzph56qwhycgrlaaae,,baseline
areases_quint,area-level SES indicator (deprivation index in quintiles) at birth,using different local data for each cohort,false,categorical,areases_quint_options,sub_sub_folder_75,,year
areases_quint_preg,area-level SES indicator (deprivation index in quintiles) at pregnancy,using different local data for each cohort,false,categorical,areases_quint_preg_options,sub_sub_folder_75,,baseline
areases_tert,area-level SES indicator (deprivation index in tertiles) at birth,using different local data for each cohort,false,categorical,areases_tert_options,sub_sub_folder_74,,year
areases_tert_preg,area-level SES indicator (deprivation index in tertiles) at pregnancy,using different local data for each cohort,false,categorical,areases_tert_preg_options,sub_sub_folder_74,,baseline
armcirc,Child's arm circumference (0 and <1 month),,false,continuous,,,,month
armcircage,Age at arm circumference measurement (0 and <1 month),,false,continuous,,,,month
armcircmes,Measured vs. reported child arn circumference (0 and <1 month),,false,boolean,,,,month
